N,J,h,mean_R_sq,err_mean_R_sq,mean_R_gyr_sq,err_mean_R_gyr_sq,mean_e,err_mean_e,mean_e_sq,err_mean_e_sq,mean_e_fourth,err_mean_e_fourth,mean_m,err_mean_m,mean_m_sq,err_mean_m_sq,mean_m_fourth,err_mean_m_fourth,steps
100,0.4,0,727,29,79.4262,0.0534618,-0.945127,0.00026688,0.945941,0.000527452,1.09584,0.00121543,0.203559,0.00017479,0.0638337,9.56582e-05,0.0112974,3.24498e-05,96500000000
300,0.4,0,3786,64,385.651,0.348345,-0.96077,0.000188852,0.939376,0.000366473,0.943949,0.000732515,0.119301,9.09303e-05,0.0222281,3.09941e-05,0.00144577,4.31416e-06,103700000000
600,0.4,0,10728,106,1065.51,1.0106,-0.964302,7.79395e-05,0.937701,0.000149644,0.908714,0.000282713,0.0847615,3.24672e-05,0.0112518,7.53685e-06,0.000374692,6.09043e-07,487300000000
1200,0.4,0,30452,192,0.0,,-0.966248,0.000157461,0.937404,0.000306971,0.892885,0.000590167,0.0600248,3.29714e-05,0.00565126,5.57555e-06,9.515e-05,2.26917e-07,351800000000
100,0.41,0,714,27,0.0,,-0.984592,0.000146323,1.02359,0.000284418,1.27162,0.000713555,0.212219,9.08158e-05,0.0692599,5.50609e-05,0.0131832,2.07761e-05,360530000000
300,0.41,0,3701,69,0.0,,-1.00111,0.000118254,1.01908,0.000230276,1.10761,0.000461604,0.124877,6.22788e-05,0.024324,2.1353e-05,0.00172355,3.23753e-06,268680000000
600,0.41,0,10469,107,0.0,,-1.00502,8.73113e-05,1.01817,0.000176101,1.06977,0.000368695,0.0886081,4.02708e-05,0.0122884,1.10852e-05,0.000446289,8.92895e-07,329120000000
1200,0.41,0,29601,185,0.0,,-1.00714,0.000134266,1.01825,0.000270439,1.05279,0.000554992,0.0628486,3.2464e-05,0.00619065,6.10981e-06,0.000113928,2.47979e-07,352510000000
100,0.42,0,689,33,0.0,,-1.02474,0.000124826,1.10577,0.000267163,1.47136,0.000806844,0.221978,9.71558e-05,0.0755566,5.26504e-05,0.0155306,2.17909e-05,363390000000
300,0.42,0,3599,70,0.0,,-1.04326,0.000125635,1.10586,0.000272433,1.30065,0.000667511,0.131079,7.33285e-05,0.0267634,2.67952e-05,0.00207842,3.92391e-06,265250000000
600,0.42,0,10164,104,0.0,,-1.04765,9.1654e-05,1.10601,0.000193378,1.26067,0.00044267,0.0930801,3.92346e-05,0.0135555,1.18728e-05,0.000542337,1.12922e-06,347920000000
1200,0.42,0,28803,185,0.0,,-1.04968,0.000128135,1.10592,0.000270028,1.24117,0.000607309,0.0660144,4.75556e-05,0.0068269,9.02314e-06,0.000138603,3.81374e-07,339490000000
100,0.43,0,676,32,0.0,,-1.06681,0.000162198,1.19539,0.000350069,1.70607,0.00100109,0.232813,8.84456e-05,0.0828422,5.55985e-05,0.0184391,2.43396e-05,347410000000
300,0.43,0,3489,63,0.0,,-1.08731,0.000101176,1.20037,0.000225554,1.52849,0.000593757,0.137867,6.28092e-05,0.0295927,2.46123e-05,0.00253087,4.71473e-06,271140000000
600,0.43,0,9851,104,0.0,,-1.09206,9.69305e-05,1.2014,0.000212207,1.48583,0.000522196,0.0980771,5.68593e-05,0.0150397,1.52787e-05,0.000665673,1.26445e-06,336070000000
1200,0.43,0,27805,184,0.0,,-1.09475,0.000133052,1.20274,0.000292001,1.46714,0.000711624,0.0695003,3.62238e-05,0.00757112,7.64011e-06,0.000170492,3.74552e-07,353220000000
100,0.44,0,650,29,0.0,,-1.11024,0.000139813,1.29171,0.000310417,1.97706,0.000987492,0.244408,9.9073e-05,0.0910147,6.41119e-05,0.021997,3.09035e-05,360660000000
300,0.44,0,3368,62,0.0,,-1.13329,0.000102413,1.30329,0.000234231,1.79798,0.000648303,0.145662,6.95555e-05,0.0330122,2.83726e-05,0.0031438,6.12595e-06,264630000000
600,0.44,0,9507,100,0.0,,-1.13861,0.000122977,1.30563,0.000288201,1.75291,0.000807273,0.103663,4.44034e-05,0.0167948,1.34038e-05,0.000829352,1.43652e-06,351580000000
1200,0.44,0,26836,175,0.0,,-1.14114,0.000135253,1.30666,0.000309589,1.73073,0.000820638,0.0734615,5.5023e-05,0.0084551,1.31631e-05,0.000212342,7.90644e-07,346950000000
100,0.45,0,628,28,0.0,,-1.15586,0.000133129,1.39694,0.000306738,2.29592,0.00103081,0.257984,0.000104991,0.100976,7.13076e-05,0.0266463,3.65087e-05,349540000000
300,0.45,0,3238,69,0.0,,-1.18189,9.82168e-05,1.41666,0.00023139,2.12008,0.000683151,0.154552,8.54511e-05,0.0371094,3.13774e-05,0.00394825,7.20551e-06,270490000000
600,0.45,0,9134,106,0.0,,-1.18804,0.000103939,1.42108,0.00024855,2.0746,0.000727985,0.11012,4.85455e-05,0.0189437,1.67479e-05,0.00105207,2.4369e-06,336740000000
1200,0.45,0,25748,170,0.0,,-1.19093,0.000150921,1.42302,0.000360652,2.05181,0.00104173,0.0782024,4.51268e-05,0.00957996,9.9299e-06,0.000272441,5.87489e-07,344080000000
100,0.46,0,611,29,0.0,,-1.20311,0.000148651,1.51039,0.000353195,2.666,0.00121836,0.273087,0.000109752,0.112538,7.44813e-05,0.0324803,4.11507e-05,355940000000
300,0.46,0,3103,67,0.0,,-1.2327,0.000151056,1.54031,0.000386298,2.50163,0.00130899,0.164867,8.41917e-05,0.0421433,3.96918e-05,0.00505337,1.06592e-05,265710000000
600,0.46,0,8738,96,0.0,,-1.24013,0.000111561,1.54812,0.000278558,2.46007,0.000888624,0.117767,5.1629e-05,0.0216341,1.77745e-05,0.00136665,2.65405e-06,346750000000
1200,0.46,0,24744,179,0.0,,-1.24321,0.000183978,1.55057,0.00045919,2.43529,0.0014477,0.0835554,4.8421e-05,0.0109313,1.11712e-05,0.000354117,7.17324e-07,349630000000
100,0.47,0,585,27,0.0,,-1.25295,0.00015828,1.63508,0.000382106,3.10517,0.00139741,0.290162,0.000119367,0.126225,9.27095e-05,0.0399359,5.06065e-05,348670000000
300,0.47,0,2946,55,0.0,,-1.28731,0.000105878,1.67907,0.000277242,2.96779,0.00100862,0.177136,8.83778e-05,0.0485237,4.60562e-05,0.00663745,1.58065e-05,265780000000
600,0.47,0,8274,93,0.0,,-1.29542,0.000183289,1.68892,0.000478565,2.92593,0.00166376,0.126725,8.58399e-05,0.025041,3.19043e-05,0.00182497,4.21397e-06,341820000000
1200,0.47,0,23307,169,0.0,,-1.29945,0.00018291,1.69388,0.000477121,2.90525,0.00164078,0.0902244,5.53358e-05,0.0127406,1.42242e-05,0.000479449,1.09912e-06,346070000000
