N,J,h,mean_R_sq,err_mean_R_sq,mean_R_gyr_sq,err_mean_R_gyr_sq,lambda1,err_lambda1,lambda2,err_lambda2,acperical,err_aspherical,bulk2,err_bulk2,bulk3,err_bulk3,bulk4,err_bulk4,bulk5,err_bulk5,bulk6,err_bulk6,steps
600,0.7,0,357,22,139.014,0.167938,108.204,0.21517,30.8095,0.0503708,0.312976,0.00123439,0.0201344,9.37922e-06,0.0648297,2.20309e-05,0.117829,3.36917e-05,0.225305,4.13769e-05,0.571796,8.35768e-05,54000000000
1200,0.7,0,665,27,269.237,0.853465,208.117,1.09032,61.1205,0.287691,0.301131,0.00324928,0.0145062,9.6205e-06,0.0493868,2.73594e-05,0.101475,4.3756e-05,0.226147,4.62615e-05,0.608446,0.000104249,30000000000
100,0.8,0,68,9,23.9308,0.0052385,18.962,0.00617049,4.96881,0.0013086,0.339904,0.000183668,0.0429442,1.73029e-05,0.127686,3.12293e-05,0.172638,3.69201e-05,0.194256,5.46267e-05,0.461395,7.60082e-05,114000000000
300,0.8,0,176,15,67.3728,0.0322755,52.4233,0.0433909,14.9495,0.0123081,0.312548,0.00059754,0.0232977,1.17775e-05,0.0764658,1.90557e-05,0.120681,2.51169e-05,0.190016,4.56399e-05,0.589334,6.42642e-05,79000000000
600,0.8,0,320,20,130.152,0.145163,100.322,0.188028,29.8308,0.0493329,0.297545,0.00117023,0.0162322,8.24592e-06,0.0556369,1.61869e-05,0.0969322,2.44578e-05,0.186788,4.5314e-05,0.644337,7.19907e-05,53000000000
1200,0.8,0,605,27,253.816,0.87774,194.461,1.15077,59.3544,0.29513,0.287198,0.00349243,0.0114446,9.01859e-06,0.0408248,2.68997e-05,0.0791688,4.16703e-05,0.184061,5.05825e-05,0.684475,0.000104205,30000000000
100,0.9,0,51,9,22.7383,0.00381302,17.8699,0.00470026,4.86839,0.00150876,0.32776,0.000192094,0.037653,1.62765e-05,0.121399,2.99143e-05,0.164182,3.37069e-05,0.172556,5.62693e-05,0.503394,7.01165e-05,113000000000
300,0.9,0,156,16,64.5318,0.0276172,49.9043,0.036007,14.6275,0.0095804,0.302871,0.000456101,0.0200072,9.24646e-06,0.071039,1.66541e-05,0.109807,2.27341e-05,0.160345,4.06185e-05,0.638649,5.57365e-05,80000000000
600,0.9,0,300,19,125.294,0.146455,96.1294,0.195422,29.1651,0.0550781,0.289905,0.00135253,0.0137583,7.31929e-06,0.0508022,1.68512e-05,0.0849978,2.48301e-05,0.153641,4.48641e-05,0.696749,6.79649e-05,52000000000
1200,0.9,0,579,25,245.583,0.966332,187.663,1.33302,57.9198,0.395984,0.282306,0.00483924,0.00958689,8.07322e-06,0.0365403,1.89472e-05,0.0665787,3.35607e-05,0.148296,5.48493e-05,0.73898,9.78243e-05,29000000000
